GENUS,SUBGENUS ,SECTION,SERIES,SUBSERIES,SPECIES,SUBSPECIES,BINOMIAL
Angophora,,,‘Costatitae’ ms,,costata,euryphylla,Angophora_costata
Angophora,,,‘Costatitae’ ms,,costata,costata,Angophora_costata
Angophora,,,‘Costatitae’ ms,,leiocarpa,,Angophora_leiocarpa
Angophora,,,Angophora,‘Floribundinae’ ms,bakeri,bakeri,Angophora_bakeri
Angophora,,,Angophora,‘Floribundinae’ ms,bakeri,crassifolia,Angophora_bakeri
Angophora,,,Angophora,‘Floribundinae’ ms,inopina,,Angophora_inopina
Angophora,,,Angophora,‘Floribundinae’ ms,floribunda,,Angophora_floribunda
Angophora,,,Angophora,‘Floribundinae’ ms,woodsiana,,Angophora_woodsiana
Angophora,,,Angophora,‘Melanoxylon’ ms,melanoxylon,,Angophora_melanoxylon
Angophora,,,Angophora,‘Angophora’ ms,subvelutina,,Angophora_subvelutina
Angophora,,,Angophora,‘Angophora’ ms,robur,,Angophora_robur
Angophora,,,Angophora,‘Angophora’ ms,hispida,,Angophora_hispida
Angophora,,,Inter-series hybrid,,× exul (= A. floribunda × A. leiocarpa),,Angophora_exul
Corymbia,Corymbia,Calophyllae,,,haematoxylon,,Corymbia_haematoxylon
Corymbia,Corymbia,Calophyllae,,,chlorolampra,,Corymbia_chlorolampra
Corymbia,Corymbia,Calophyllae,,,calophylla,,Corymbia_calophylla
Corymbia,Corymbia,Calophyllae,,,ficifolia,,Corymbia_ficifolia
Corymbia,Corymbia,Corymbia,‘Cymbiformes’ ms,,gummifera,,Corymbia_gummifera
Corymbia,Corymbia,Corymbia,‘Jacobsianae’ ms,,jacobsiana,,Corymbia_jacobsiana
Corymbia,Corymbia,Corymbia,‘Trachyphloiae’ ms,,trachyphloia,,Corymbia_trachyphloia
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,ptychocarpa,ptychocarpa,Corymbia_ptychocarpa
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,ptychocarpa,aptycha,Corymbia_ptychocarpa
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,abergiana,,Corymbia_abergiana
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,polycarpa,,Corymbia_polycarpa
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,novoguinensis,,Corymbia_novoguinensis
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,clarksoniana,,Corymbia_clarksoniana
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,ligans,,Corymbia_ligans
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,plena,,Corymbia_plena
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,clandestina,,Corymbia_clandestina
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,brachycarpa,,Corymbia_brachycarpa
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,hylandii,,Corymbia_hylandii
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,stockeri,peninsularis,Corymbia_stockeri
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,stockeri,stockeri,Corymbia_stockeri
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,hendersonii,,Corymbia_hendersonii
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,xanthope,,Corymbia_xanthope
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,intermedia,,Corymbia_intermedia
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,rhodops,,Corymbia_rhodops
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,serendipita,,Corymbia_serendipita
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,arnhemensis,,Corymbia_arnhemensis
Corymbia,Corymbia,Corymbia,‘Dorsiventrales’ ms,,arenaria,,Corymbia_arenaria
Corymbia,Corymbia,Corymbia,‘Isobilaterales’ ms,‘Peltiformes’ ms,nesophila,,Corymbia_nesophila
Corymbia,Corymbia,Corymbia,‘Isobilaterales’ ms,‘Peltiformes’ ms,bleeseri,,Corymbia_bleeseri
Corymbia,Corymbia,Corymbia,‘Isobilaterales’ ms,‘Peltiformes’ ms,collina,,Corymbia_collina
Corymbia,Corymbia,Corymbia,‘Isobilaterales’ ms,‘Limitaneae’ ms,oocarpa,,Corymbia_oocarpa
Corymbia,Corymbia,Corymbia,‘Isobilaterales’ ms,‘Limitaneae’ ms,dichromophloia,,Corymbia_dichromophloia
Corymbia,Corymbia,Corymbia,‘Isobilaterales’ ms,‘Limitaneae’ ms,capricornia,,Corymbia_capricornia
Corymbia,Corymbia,Corymbia,‘Isobilaterales’ ms,‘Limitaneae’ ms,drysdalensis,,Corymbia_drysdalensis
Corymbia,Corymbia,Corymbia,‘Isobilaterales’ ms,‘Limitaneae’ ms,umbonata,,Corymbia_umbonata
