"taxon","bm_stringy","bm_iron","bm_multi","variety","has_subsp","TAS","taxon.sans.subsp","section","subgenus","subgenus.infered","section.full","subgenus.full","animal","water_logging_tolerance_.1_month..6_months.1.6_months","water_logging_tolerance_.1_month.1.6_months","water_logging_tolerance_not_applicable","lp_deciduous","pgf_tree","pgf_shrub","pgf_treelet","pgf_multi","fc_seeding","ls_500plus","fr_resprouts","rs_epicormic","rs_lignotuber","rs_none","rs_multi","inund_tol","wl_tol","bm_box","bm_gum","bm_ribbon","bm_stocking","genome_size","plant_height","leaf_area","leaf_dry_mass","leaf_delta13C","leaf_N_per_dry_mass","leaf_C_per_dry_mass","leaf_length","leaf_width","SLA","seed_mass","vein_density","vein_angle_secondary","wood_density","SLA.log","plant_height.log","leaf_width.log","leaf_length.log","leaf_area.log","leaf_dry_mass.log","seed_mass.log","num_occ","eoo_km2","aoo_km2","eoo_centroid_lon","eoo_centroid_lat","bio1_min","bio1_max","bio1_02","bio1_98","bio1_05","bio1_95","bio1_10","bio1_90","bio5_min","bio5_max","bio5_02","bio5_98","bio5_05","bio5_95","bio5_10","bio5_90","bio6_min","bio6_max","bio6_02","bio6_98","bio6_05","bio6_95","bio6_10","bio6_90","bio10_min","bio10_max","bio10_02","bio10_98","bio10_05","bio10_95","bio10_10","bio10_90","bio12_min","bio12_max","bio12_02","bio12_98","bio12_05","bio12_95","bio12_10","bio12_90","bio14_min","bio14_max","bio14_02","bio14_98","bio14_05","bio14_95","bio14_10","bio14_90","bio17_min","bio17_max","bio17_02","bio17_98","bio17_05","bio17_95","bio17_10","bio17_90","BDW_min","BDW_max","BDW_02","BDW_98","BDW_05","BDW_95","BDW_10","BDW_90","CLY_min","CLY_max","CLY_02","CLY_98","CLY_05","CLY_95","CLY_10","CLY_90","DER_min","DER_max","DER_02","DER_98","DER_05","DER_95","DER_10","DER_90","pHc_min","pHc_max","pHc_02","pHc_98","pHc_05","pHc_95","pHc_10","pHc_90","PTO_min","PTO_max","PTO_02","PTO_98","PTO_05","PTO_95","PTO_10","PTO_90","SLT_min","SLT_max","SLT_02","SLT_98","SLT_05","SLT_95","SLT_10","SLT_90","SND_min","SND_max","SND_02","SND_98","SND_05","SND_95","SND_10","SND_90","aridity_min","aridity_max","aridity_02","aridity_98","aridity_05","aridity_95","aridity_10","aridity_90","bio1_b90","bio10_b90","bio12_b90","bio14_b90","aridity_b90","PTO_b90","aridity_05.log","aridity_95.log","bio12_b90.log","bio12_05.log","bio14_05.log","bio14_b90.log","aridity_b90.log","aridity_b90.sqrt","DER_95.log","PTO_05.log","PTO_b90.log","aridity_02.log","aridity_98.log","se.leaf_area","se.leaf_delta13C","se.leaf_N_per_dry_mass","se.specific_leaf_area","se.wood_density","se.seed_mass","se.seed_length","se.seed_width","se.leaf_N_per_area","se.leaf_length","se.leaf_width","se.plant_height","se.leaf_dry_mass","se.leaf_C_per_dry_mass","se.germination","se.genome_size","se.vein_angle_secondary","se.vein_density"
"Angophora_bakeri_bakeri",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,1,1,1,0,1,NA,NA,0,0,0,0,NA,10.6,NA,NA,NA,NA,NA,88.33333333,9,NA,NA,NA,NA,NA,NA,2.360854001,2.197224577,4.481117537,NA,NA,NA,85,83471.23009,324,151.7236888,-31.43523188,12,20,12.68,20,13,20,16,20,24,29,24,29,25,29,25.4,29,2,13,2,12,3,11,4,11,18,24,18,24,19,24,21,24,653,1547,673.04,1504.92,691.6,1490.2,834,1471.6,33,62,34,60.32,34,55.8,36.2,55,107,216,110,210,111.2,206,116.2,194.6,0.999002169,1.454740822,1.068308418,1.440349669,1.133395313,1.423661344,1.208496831,1.413568771,11.32020076,38.0313104,13.29417665,25.74712615,14.94274739,24.36673896,15.26350206,23.04476674,0.852663219,30.80919075,0.976770082,22.37843201,1.001153117,15.69641361,1.017402446,9.430188179,4.096779585,5.909264247,4.158920792,5.605972699,4.170535696,5.330762557,4.230016692,4.939543525,0.018619973,0.063198239,0.018971731,0.048460392,0.019708415,0.042229204,0.022050004,0.037284264,5.498577595,24.25823371,9.945636282,23.00192092,11.49034643,20.91881218,12.41160281,19.17238499,39.50288455,71.54780324,42.17102584,65.45944352,45.19802726,63.58658438,46.49559956,61.45877654,0.419400007,1.008000016,0.424935997,0.901698009,0.450230002,0.868015018,0.496530011,0.854920012,7,5,798.6,21.8,0.417785016,0.022520788,-0.79799671,-0.141546263,6.684111603,6.539007754,3.555348061,3.126760536,0.349095806,0.646362913,2.753432254,-3.926709558,-3.79331647,-0.855816717,-0.103475617,NA,NA,NA,NA,NA,NA,0.75,NA,NA,14.7007180474666,1.9832633040858,2.97657521322744,NA,NA,NA,NA,NA,NA
"Angophora_costata_costata",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1,1,1,0,1,NA,NA,0,0,0,0,0.861896839,30,NA,NA,NA,NA,NA,130,23.5,NA,NA,NA,NA,NA,NA,3.401197382,3.157000421,4.86753445,NA,NA,NA,109,609495.3642,384,149.0241432,-28.38701104,12,23,13,21.84,13,20.6,14.8,20,23,34,23,32,24,30.8,24,29,2,13,3,12,3,12,4,11,18,27,18.16,26,19,25.2,19.8,24,581,1632,695.64,1570.32,716.2,1539.2,841.4,1489.8,6,76,6,70.84,8.2,68,39,66,33,251,37.48,231.52,45,226.6,135.4,215.2,1.030873944,1.530496001,1.088315404,1.480939602,1.126465957,1.439451499,1.148354725,1.37976625,10.50487518,35.26999124,12.29292027,34.33671506,13.67827754,31.4683389,14.74589219,25.18300263,0.909270465,28.80971146,0.922871709,25.39428925,0.9412249,10.66424737,0.964785433,9.203800678,4.054218849,5.477138599,4.108042976,5.440771782,4.192629262,5.287336751,4.249174579,4.981268422,0.014752168,0.055724688,0.017520149,0.039528744,0.018758056,0.037303125,0.020980907,0.035066009,7.915627559,30.59362475,10.39335595,25.65431869,11.13123113,23.2246713,11.83054234,21.34127696,36.3697904,90.7701594,37.9295835,85.04244932,38.31800543,68.71801275,43.08123277,65.40842762,0.236399993,1.117699981,0.251549994,1.037438023,0.269564998,1.021570051,0.520840007,0.960499984,7.6,6.2,823,59.8,0.752005053,0.018545069,-1.310945737,0.021340709,6.71417053,6.573959458,2.219203484,4.107589789,0.560760876,0.867182249,2.366896779,-3.976131946,-3.98755135,-1.380113526,0.036754234,NA,NA,NA,NA,NA,NA,1.5,NA,NA,60,11.5,NA,NA,NA,NA,NA,NA,NA
"Angophora_floribunda",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0.830927174,24,1738.08,205.5875,NA,NA,NA,95,29.85714286,9.078836585,2.048253846,2.7,61.02,0.725333333,2.205946055,3.17805383,3.396424103,4.553876892,7.460536335,5.325871734,0.716987648,442,2339323.471,1584,145.8962297,-27.80521615,11,25,13,22,13,21,14,20,21,33,21.82,33,23,33,24,32,0,21,2,12,2,11,3,11,17,28,18,27,19,27,19,26,470,3601,549.28,1854.46,608,1455.45,632,1202.6,12,113,19.82,68.18,23.05,65,25,60,60,350,63,230.54,76,215.95,81,202.7,0.942003181,1.51611493,1.066148038,1.494362869,1.157468613,1.476302397,1.211155113,1.455278405,9.154418071,52.49584707,13.04786232,46.36948639,14.78645339,40.11407992,15.78993451,36.05727666,0.858021915,46.00755692,0.963782589,33.84323318,1.005370021,24.49064827,1.217462373,16.70244904,4.041362445,6.875867764,4.220197379,6.544431213,4.31589574,6.336141173,4.400600894,6.120790831,0.016008334,0.132295104,0.01794862,0.081957018,0.019301079,0.062785315,0.021205019,0.049470594,3.834989587,26.518466,8.498357919,22.71005377,9.84449056,21.20775941,11.07111982,19.51338806,24.10550817,84.98633575,29.96675056,71.11446167,36.39537977,67.71083272,39.48581085,63.84258842,0.2104,1.723999977,0.263608009,0.928872025,0.296339995,0.840839982,0.313639998,0.77822001,8,8,847.45,41.95,0.544499987,0.043484236,-1.216247853,-0.173353908,6.743411155,6.410174882,3.180134997,3.760036648,0.434700225,0.737902424,3.198291341,-3.947594301,-3.135356787,-1.333292094,-0.073784305,215.006449089324,NA,NA,0.360353302083993,0.0326666666666667,0.844690914770545,0.75,NA,NA,24.3926218353009,6.34109263315976,4,29.0993869852385,NA,NA,NA,NA,NA
"Angophora_hispida",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,NA,1,1,1,0,1,NA,NA,0,0,0,0,0.823267641,4.95825,2423.021765,587.3933333,-27.51475,7.826363636,518.1666667,78.75,32,5.053362581,24.15790122,NA,NA,0.585,1.620053879,1.601052856,3.465735903,4.366278278,7.792770703,6.375694669,3.184611499,109,63470.68382,376,149.7431613,-36.52060858,12,18,13.32,18,16,18,16.8,18,20,29,23.16,28,24,28,24,28,1,11,5,11,6,10.6,6,10,16,23,19.16,22,21,22,21,22,620,1345,836.64,1300.4,862.4,1275.6,921.8,1251.2,39,71,40,69,40,68.6,44.6,68,135,234,139.48,230,144.4,229,148,227,1.012967358,1.432680786,1.194782833,1.387847404,1.202882508,1.367698868,1.21908623,1.35357374,10.27056797,42.34577179,12.93484577,35.3607343,14.24812126,28.81773249,15.44906028,22.35881138,0.941640735,6.631604671,0.979573429,6.070306301,0.996173918,5.870334625,1.042772889,5.256939888,4.258320252,4.928735495,4.277711391,4.875935793,4.305166801,4.773405313,4.32518363,4.614184697,0.018230302,0.040873895,0.018335847,0.039173692,0.018801727,0.036106053,0.019892772,0.03296915,8.933572769,21.20430247,10.63025554,21.11931737,12.14167452,20.35503451,12.67371194,19.89422099,43.06774076,68.08042272,43.6861763,63.31759071,45.02562205,61.00377019,47.72482363,58.72201983,0.531099975,1.004600048,0.540420002,0.904350024,0.563399985,0.898149982,0.600250006,0.87379998,2,1,413.2,28.6,0.334749997,0.017304326,-0.573765449,-0.107418207,6.026348949,6.7597192,3.713572067,3.387774361,0.288744006,0.578575835,1.769911638,-3.973806534,-4.056798763,-0.61540866,-0.100538799,195.926331111893,0.376338804580837,0.596295034856942,0.236235631365335,0.0154834376707908,0.596239740917598,1,NA,0.131985084384562,16.8788575837742,12.7082650271388,1.48200080831062,76.9894987933059,8.38020153563014,NA,NA,NA,NA
"Angophora_inopina",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,NA,NA,1,1,1,0,1,NA,NA,0,0,0,0,0.844473427,6.666666667,NA,NA,NA,NA,NA,78.75,18,NA,12.1554839,NA,NA,NA,NA,1.897119985,2.890371758,4.366278278,NA,NA,2.497780418,58,4310.927817,148,151.6783221,-32.75271398,17,18,18,18,18,18,18,18,24,30,24,27,24.85,27,25,27,7,11,8.14,11,9,11,9,11,22,24,22,23,22,23,22,23,700,1265,1020.56,1265,1032.5,1265,1059.6,1227.2,37,68,55.14,67.86,56,66.15,58,65,117,216,180.14,214.58,182.7,212,188.1,212,1.187518815,1.385929465,1.195000613,1.366599941,1.197687423,1.359048374,1.219015531,1.354126561,9.308205922,30.04036617,11.53354258,21.94239277,12.1386391,20.23300025,12.78757935,19.06189086,1.040995121,15.2567358,1.783479929,14.3073954,2.241785192,10.87969589,3.751052618,9.258932495,4.042623838,5.720350981,4.054305137,4.595959311,4.067774693,4.537921,4.090885337,4.470943022,0.020575756,0.038456449,0.021397694,0.037770377,0.022329324,0.036466962,0.023210897,0.033951101,7.246026516,25.76569112,7.413951136,21.65765527,7.558817228,20.3782601,8.22614549,19.92223466,41.74365679,76.16424179,43.99024745,74.72855474,47.23892059,71.76969121,48.5342233,69.13677826,0.435699999,0.802100003,0.65308798,0.802100003,0.664860001,0.802100003,0.670839995,0.798949981,0,1,232.5,10.15,0.137240002,0.014137638,-0.408178785,-0.220521987,5.453182077,6.939738325,4.043051268,2.411439498,0.128604276,0.370459177,2.38689829,-3.801854485,-4.258914655,-0.426043427,-0.220521987,NA,NA,NA,NA,NA,NA,1,NA,NA,21.053008494433,5.8309518948453,1.33333333333333,NA,NA,NA,NA,NA,NA
"Angophora_melanoxylon",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,0,0,1,0,1,1,0,1,NA,0,1,1,1,0,1,0,0,1,0,0,0,0.798397041,11.66666667,516.1,96.225,NA,NA,NA,60,16,5.363719929,0.334960811,NA,NA,NA,1.679657751,2.456735773,2.772588722,4.094344562,6.246300545,4.566689199,-1.093741737,109,819632.5184,368,145.0358327,-27.80777644,15,24,18.16,21,19,21,19,21,26,35,32,35,33,35,33,35,4,17,5,7,5,7,5,7,20,29,26,29,26,29,26.8,28.2,354,2775,360.64,584.4,368,560.6,386.2,551.2,12,64,12.16,29,14,28.6,15,25.2,54,214,55,102,57.4,101,58,85.6,1.366793493,1.564451933,1.388296068,1.553434389,1.413830805,1.545295318,1.43254294,1.526675495,17.07614708,49.90986824,17.83152016,46.44227005,18.62140878,39.40948957,20.30767237,36.71962191,1.130173922,86.11320496,3.124209595,79.24444977,5.841187477,75.76308136,7.642866135,66.23179779,4.04484574,7.036728541,5.378084869,6.898843848,5.485215982,6.691648801,5.560153723,6.368156672,0.016008334,0.048394761,0.018503539,0.041559078,0.019457165,0.037621292,0.020503838,0.034781735,3.834989587,19.67806625,6.185585101,15.6483066,6.27373058,13.44045283,7.55960892,12.14502974,30.65563869,76.26678848,33.9929111,74.22365504,44.47136676,72.04557368,47.86206779,70.50080668,0.139500007,1.008900046,0.146647994,0.285176013,0.149859998,0.253539997,0.151039997,0.249180001,2,3,192.6,14.6,0.10368,0.018164128,-1.89805377,-1.372233688,5.265794175,5.908082938,2.708050201,2.747270914,0.098650051,0.321993788,4.327611121,-3.93953992,-4.008306622,-1.919720162,-1.2546487,0.949999999999989,NA,NA,0.0319333845000003,NA,0.186500303916756,0.891122887148568,NA,NA,17.3205080756888,5.04975246918104,3.33333333333333,0.75,NA,NA,NA,NA,NA
"Angophora_robur",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,1,1,1,0,1,NA,NA,0,0,0,0,NA,7.777666667,NA,NA,NA,NA,NA,93.325,27.925,NA,18.2189055,NA,NA,NA,NA,2.051256379,3.329522345,4.536088025,NA,NA,2.902459819,37,1810.898136,100,152.9622628,-29.73776087,18,19,18,19,18,19,18,19,26,29,26,29,26,29,26.6,29,6,10,6.72,10,7,10,7,9.4,22,24,22.72,24,23,24,23,24,1015,1348,1053.88,1345.12,1071.4,1338.4,1075.2,1330,33,51,33.72,50.28,34.8,49.2,35.6,49,107,169,109.88,164.68,113.4,159.8,114.6,158,1.176378032,1.412985623,1.196322752,1.412706587,1.218495742,1.410827243,1.251042104,1.408468854,15.20834414,25.9340299,15.24479266,25.9340299,15.33979378,25.09235586,16.62900836,22.91529916,1.830246091,10.57957077,1.899293704,10.57957077,1.990789795,9.458301544,2.462641764,7.452479649,4.363389651,5.057575544,4.377417704,5.057575544,4.394397068,4.932580121,4.493490076,4.831851435,0.016681566,0.052632783,0.019567882,0.052632783,0.021179612,0.051791618,0.022852587,0.036768582,13.84873915,22.75275103,14.52925783,21.65508959,14.93342692,20.91767972,15.02222455,20.67017454,48.36882528,63.63234711,48.36882528,63.52276306,49.00473989,61.16285934,49.315743,60.16716436,0.636099994,0.970399976,0.638476002,0.912152009,0.653399992,0.889500022,0.662100017,0.865239978,1,1,267,14.4,0.23610003,0.030612006,-0.425565792,-0.117095747,5.590986981,6.976721483,3.577947893,2.734367509,0.211961286,0.485901255,2.246892826,-3.85471625,-3.486362995,-0.448671189,-0.091948626,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9774236767129,11.3675983244776,2.22233333333333,NA,NA,NA,NA,NA,NA
"Angophora_subvelutina",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,0,0,1,0,1,0,0,0,NA,0,1,1,1,0,1,0,0,1,0,0,0,0.834407216,15.55566667,2080.615963,180.35,NA,NA,NA,87.5,37.5,9.806461346,8.540270833,NA,NA,0.691666667,2.283041489,2.744424988,3.624340933,4.471638793,7.640419265,5.194899407,2.144792721,144,810930.0776,496,148.0097882,-31.45407122,13,21,13,21,14,21,15,21,24,33,25,31,25,31,26,31,2,11,2,10.14,3,10,3,10,18,27,19,26,19,25,20,25,574,1834,641.18,1459.9,684,1285.55,771,1195.7,19,66,26.86,54.14,30,49.85,32,47.7,63,207,91.46,175.36,97.3,157.7,101.3,153.7,1.060574681,1.51611493,1.090891259,1.45733203,1.166809783,1.446935433,1.223409013,1.425815954,10.12642733,47.48642858,14.71345684,35.3635751,16.02549915,32.71457828,16.8069671,30.1277455,0.928373933,25.3485508,1.008642199,18.78149559,1.129414672,14.81228447,1.318803859,9.425693321,4.182542801,6.274025599,4.472474459,6.071416556,4.516385885,5.838198153,4.662799637,5.580155023,0.016008334,0.07317597,0.019230862,0.066414491,0.020595381,0.058966722,0.022436084,0.048616586,3.834989587,24.5798041,12.10052231,24.33647144,13.87368426,21.54423391,14.67824256,20.37287378,31.65686067,76.26678848,38.19920726,68.10783079,40.79319649,64.115474,43.89366112,62.07179693,0.287800014,1.015100002,0.368518006,0.940434017,0.430749996,0.850009999,0.452130002,0.750949979,7,6,601.55,19.85,0.419260003,0.038371341,-0.842227413,-0.162507166,6.401170649,6.527957918,3.433987204,3.037353948,0.350135611,0.647502898,2.695456868,-3.882688462,-3.26044443,-0.998265706,-0.06141379,99.8677859929866,NA,NA,0.259770913528027,0.0389886023231291,0.155045645853287,1.5,NA,NA,13.7689263682153,7.5,4.44433333333333,0,NA,NA,NA,NA,NA
"Angophora_woodsiana",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,1,1,1,0,1,NA,NA,0,0,0,0,NA,15.55566667,2285.34104,NA,NA,NA,NA,116.25,26,7.62544,26.7922,NA,NA,0.762,2.031490026,2.744424988,3.258096538,4.755743044,7.734270544,NA,3.2881108,70,36751.11805,228,152.8856284,-27.83179366,16,21,17,21,17,21,18,20,25,30,26,30,26,30,26,29,5,15,6,14,6.45,13,7,12,21,25,22,25,22,25,23,24,702,1664,752.74,1641.96,847.25,1574,904,1484.2,27,61,28,60.24,32,58.1,33,54,90,238,94.18,232.68,106.9,213.65,108,193.1,1.120597919,1.42941316,1.127771183,1.397848105,1.168014888,1.390221552,1.198643998,1.37691824,4.381038706,36.34345627,5.23203386,32.80623085,7.934674931,30.4037831,15.6089215,29.03127956,1.245744228,28.80971146,2.032851038,16.03053341,2.292535591,12.29710999,2.785310078,10.99741402,4.110869726,5.391168753,4.133105199,5.352692264,4.159686629,5.297839244,4.238007943,5.235020463,0.011810263,0.075629165,0.011872827,0.067443301,0.014781227,0.053452744,0.01809304,0.044110739,5.819278717,22.00223637,6.257165273,20.86031544,8.81166776,20.01418743,12.92628708,19.26795667,39.98355293,79.14150111,40.66901688,78.79670461,41.89240189,75.24769465,43.03428752,67.14408112,0.430599988,1.038200021,0.455541989,0.926400006,0.496895003,0.902669996,0.510159975,0.882720017,4,3,726.75,26.1,0.405774993,0.038671517,-0.699376536,-0.102398245,6.589957583,6.74199581,3.496507561,3.299533728,0.340588747,0.637004704,2.509364274,-4.214397329,-3.252651947,-0.786267384,-0.076449166,111.593744035773,NA,NA,0.137665343980732,0.039,9.0358,NA,NA,NA,23.2177195262584,7.3824115301167,4.44433333333333,NA,NA,NA,NA,NA,NA
"Corymbia_abbreviata",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1,1,1,0,1,NA,NA,0,0,0,0,NA,7,NA,NA,NA,NA,NA,152.5,70,NA,NA,NA,NA,NA,NA,1.945910149,4.248495242,5.027164596,NA,NA,NA,100,349487.4495,320,129.0760646,-16.40629468,26,29,26,29,26,29,26,29,30,40,35.88,39,36,39,36,39,13,24,13.98,19.1,14,18,15,17,29,33,29,32,30,32,30,32,556,1258,696.84,1258,728.7,1150.65,737.7,1121,0,1,0,1,0,1,0,0,2,8,2.98,8,3,6.05,3,6,1.34011366,1.579125822,1.417702441,1.577894845,1.449883333,1.559283923,1.463309101,1.549210044,9.712714593,42.1868,10.58891366,41.41160516,11.81650842,39.04678186,12.7227764,34.58210926,0.607100546,30.69761658,1.060271492,27.92282505,1.227556878,24.11157827,1.911833787,18.93940182,5.045820316,6.530343135,5.181615594,6.381782603,5.200703796,6.140234419,5.247186232,5.99629914,0.011732158,0.039184894,0.0126383,0.032549327,0.013775423,0.028119593,0.01460486,0.02375445,2.461388846,14.41865794,2.570608956,12.22725115,2.969738977,11.2494425,3.366627638,10.51760505,38.52371915,87.77143733,42.12465018,85.28556404,46.9584115,85.06026217,51.07461491,82.26740774,0.190400004,0.512600005,0.217052001,0.512600005,0.248534997,0.423310004,0.260710004,0.406070012,3,2,421.95,1,0.174775007,0.01434417,-1.392171611,-0.859650498,6.047253969,6.591262125,0,0.693147181,0.161076646,0.418061009,3.182692151,-4.284869218,-4.244411685,-1.527618318,-0.668259455,NA,NA,NA,NA,NA,NA,3,NA,NA,82.5,40,NA,NA,NA,NA,NA,NA,NA
